neighborhood,year,n_permits,permits_per_sm
Gold Coast,2020,2,16.377531480785798
Gold Coast,2021,4,32.755062961571596
Goose Island,2006,1,14.252320631241501
Goose Island,2007,0,0
Goose Island,2008,0,0
Goose Island,2009,0,0
Goose Island,2010,0,0
Goose Island,2011,1,14.252320631241501
Goose Island,2012,2,28.504641262483002
Goose Island,2013,0,0
Goose Island,2014,1,14.252320631241501
Goose Island,2015,3,42.7569618937245
Goose Island,2016,1,14.252320631241501
Goose Island,2017,2,28.504641262483002
Goose Island,2018,0,0
Goose Island,2019,2,28.504641262483002
Goose Island,2020,0,0
Goose Island,2021,0,0
Graceland West,2006,1,32.912101192277106
Graceland West,2007,0,0
Graceland West,2008,0,0
Graceland West,2009,0,0
Graceland West,2010,0,0
Graceland West,2011,0,0
Graceland West,2012,0,0
Graceland West,2013,0,0
Graceland West,2014,0,0
Graceland West,2015,0,0
Graceland West,2016,0,0
Graceland West,2017,0,0
Graceland West,2018,0,0
Graceland West,2019,0,0
Graceland West,2020,0,0
Graceland West,2021,0,0
Grand Crossing,2006,7,16.17252820720167
Grand Crossing,2007,10,23.103611724573813
Grand Crossing,2008,2,4.620722344914763
Grand Crossing,2009,3,6.931083517372144
Grand Crossing,2010,1,2.3103611724573816
Grand Crossing,2011,0,0
Grand Crossing,2012,3,6.931083517372144
Grand Crossing,2013,0,0
Grand Crossing,2014,0,0
Grand Crossing,2015,0,0
Grand Crossing,2016,0,0
Grand Crossing,2017,1,2.3103611724573816
Grand Crossing,2018,0,0
Grand Crossing,2019,0,0
Grand Crossing,2020,0,0
Grand Crossing,2021,0,0
Gresham,2006,2,7.476250642124979
Gresham,2007,13,48.59562917381236
Gresham,2008,0,0
Gresham,2009,1,3.7381253210624896
Gresham,2010,1,3.7381253210624896
Gresham,2011,1,3.7381253210624896
Gresham,2012,0,0
Gresham,2013,0,0
Gresham,2014,0,0
Gresham,2015,1,3.7381253210624896
Gresham,2016,1,3.7381253210624896
Gresham,2017,0,0
Gresham,2018,1,3.7381253210624896
Gresham,2019,0,0
Gresham,2020,0,0
Gresham,2021,0,0
Hanson Park,2006,0,0
Hanson Park,2007,0,0
Hanson Park,2008,0,0
Hanson Park,2009,0,0
Hanson Park,2010,0,0
Hanson Park,2011,0,0
Hanson Park,2012,0,0
Hanson Park,2013,0,0
Hanson Park,2014,0,0
Hanson Park,2015,0,0
Hanson Park,2016,0,0
Hanson Park,2017,0,0
Hanson Park,2018,0,0
Hanson Park,2019,0,0
Hanson Park,2020,0,0
Hanson Park,2021,1,672.6030619118077
Heart of Chicago,2006,0,0
Heart of Chicago,2007,0,0
Heart of Chicago,2008,0,0
Heart of Chicago,2009,0,0
Heart of Chicago,2010,0,0
Heart of Chicago,2011,0,0
Heart of Chicago,2012,0,0
Heart of Chicago,2013,1,119.96645963411775
Heart of Chicago,2014,1,119.96645963411775
Heart of Chicago,2015,0,0
Heart of Chicago,2016,0,0
Heart of Chicago,2017,1,119.96645963411775
Heart of Chicago,2018,0,0
Heart of Chicago,2019,0,0
Heart of Chicago,2020,0,0
Heart of Chicago,2021,0,0
Hermosa,2006,1,748.6433149345647
Hermosa,2007,0,0
Hermosa,2008,0,0
Hermosa,2009,0,0
Hermosa,2010,0,0
Hermosa,2011,0,0
Hermosa,2012,0,0
Hermosa,2013,0,0
Hermosa,2014,0,0
Hermosa,2015,0,0
Hermosa,2016,0,0
Hermosa,2017,0,0
Hermosa,2018,0,0
Hermosa,2019,0,0
Hermosa,2020,0,0
Hermosa,2021,0,0
Homan Square,2006,7,53.28184064398746
Homan Square,2007,4,30.44676608227855
Homan Square,2008,9,68.50522368512674
Homan Square,2009,10,76.11691520569637
Homan Square,2010,3,22.83507456170891
Homan Square,2011,1,7.611691520569638
Homan Square,2012,0,0
Homan Square,2013,0,0
Homan Square,2014,0,0
Homan Square,2015,1,7.611691520569638
Homan Square,2016,0,0
Homan Square,2017,0,0
Homan Square,2018,0,0
Homan Square,2019,0,0
Homan Square,2020,0,0
Homan Square,2021,0,0
Humboldt Park,2006,27,167.78283072164731
Humboldt Park,2007,8,49.71343132493254
Humboldt Park,2008,2,12.428357831233136
Humboldt Park,2009,0,0
Humboldt Park,2010,4,24.85671566246627
Humboldt Park,2011,4,24.85671566246627
Humboldt Park,2012,2,12.428357831233136
Humboldt Park,2013,4,24.85671566246627
Humboldt Park,2014,7,43.49925240931597
Humboldt Park,2015,14,86.99850481863194
Humboldt Park,2016,12,74.57014698739881
Humboldt Park,2017,5,31.070894578082836
Humboldt Park,2018,11,68.35596807178224
Humboldt Park,2019,7,43.49925240931597
Humboldt Park,2020,10,62.14178915616567
Humboldt Park,2021,5,31.070894578082836
Hyde Park,2006,1,2.8224598042376323
Hyde Park,2007,4,11.28983921695053
Hyde Park,2008,0,0
Hyde Park,2009,1,2.8224598042376323
Hyde Park,2010,0,0
Hyde Park,2011,0,0
Hyde Park,2012,0,0
Hyde Park,2013,2,5.644919608475265
Hyde Park,2014,0,0
Hyde Park,2015,1,2.8224598042376323
Hyde Park,2016,3,8.467379412712898
Hyde Park,2017,0,0
Hyde Park,2018,2,5.644919608475265
Hyde Park,2019,1,2.8224598042376323
Hyde Park,2020,2,5.644919608475265
Hyde Park,2021,1,2.8224598042376323
Ida B. Wells / Darrow Homes,2006,0,0
Ida B. Wells / Darrow Homes,2007,0,0
Ida B. Wells / Darrow Homes,2008,0,0
Ida B. Wells / Darrow Homes,2009,0,0
Ida B. Wells / Darrow Homes,2010,0,0
Ida B. Wells / Darrow Homes,2011,0,0
Ida B. Wells / Darrow Homes,2012,0,0
Ida B. Wells / Darrow Homes,2013,0,0
Ida B. Wells / Darrow Homes,2014,1,15.764439983125953
Ida B. Wells / Darrow Homes,2015,0,0
Ida B. Wells / Darrow Homes,2016,0,0
Ida B. Wells / Darrow Homes,2017,0,0
Ida B. Wells / Darrow Homes,2018,0,0
Ida B. Wells / Darrow Homes,2019,0,0
Ida B. Wells / Darrow Homes,2020,0,0
Ida B. Wells / Darrow Homes,2021,0,0
Irving Park,2006,1,53.803833983412396
Irving Park,2007,0,0
Irving Park,2008,0,0
Irving Park,2009,0,0
Irving Park,2010,0,0
Irving Park,2011,0,0
Irving Park,2012,3,161.4115019502372
Irving Park,2013,0,0
Irving Park,2014,0,0
Irving Park,2015,0,0
Irving Park,2016,1,53.803833983412396
Irving Park,2017,4,215.21533593364958
Irving Park,2018,0,0
Irving Park,2019,0,0
Irving Park,2020,0,0
Irving Park,2021,0,0
Jefferson Park,2006,4,39.45967250717851
